카테고리,메뉴명,검색어,이미지URL
메인,다시마쌈세트(양배추.봄동.다시마),korean food dish,https://images.pexels.com/photos/2781540/pexels-photo-2781540.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,다시마채,korean food dish,https://images.pexels.com/photos/2781540/pexels-photo-2781540.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,단호박꽃게탕,korean sweet pumpkin crab squash food,https://images.pexels.com/photos/7368079/pexels-photo-7368079.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,단호박샐러드,korean sweet pumpkin salad squash food,https://images.pexels.com/photos/7368079/pexels-photo-7368079.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,단호박스프,korean sweet pumpkin squash soup food,https://images.pexels.com/photos/7368079/pexels-photo-7368079.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,단호박에그슬럿,korean sweet pumpkin squash food,https://images.pexels.com/photos/7368079/pexels-photo-7368079.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,단호박죽,korean sweet pumpkin squash korean rice porridge food,https://images.pexels.com/photos/7368079/pexels-photo-7368079.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,단호박활꽃게탕,korean sweet pumpkin crab squash food,https://images.pexels.com/photos/7368079/pexels-photo-7368079.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,달래된장찌개,korean fermented soybean paste korean stew food,https://images.pexels.com/photos/2781540/pexels-photo-2781540.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,달래장도토리묵구이,korean korean grilled dish food,https://images.pexels.com/photos/2781540/pexels-photo-2781540.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,닭가슴살샐러드,korean chicken breast salad chicken food,https://images.pexels.com/photos/7368041/pexels-photo-7368041.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,닭강정,korean korean fried chicken korean sweet crispy glazed chicken food,https://images.pexels.com/photos/18283713/pexels-photo-18283713.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,닭강정(국내산.닭다리살),korean korean fried chicken korean sweet crispy glazed chicken food,https://images.pexels.com/photos/18283713/pexels-photo-18283713.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,닭강정(국내산닭다리살),korean korean fried chicken korean sweet crispy glazed chicken food,https://images.pexels.com/photos/18283713/pexels-photo-18283713.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
메인,닭강정_국내산,korean korean fried chicken korean sweet crispy glazed chicken food,https://images.pexels.com/photos/18283713/pexels-photo-18283713.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
